id,catergory,name-en,name-zh-hk,address-en,address-zh-hk,phone-number,fax-number,url-en,locations_Id
719,shopping-malls, HomeSquare , 新城市中央廣場 ," 138 Shatin Rural Committee Road, Shatin ", 沙田鄉事會路138號 ,26340666,,www.homesquare.com.hk,51
717,shopping-malls, East Point City , 東港城 ," 8 Chung Wa Road, Tseung Kwan O Town Centre ", 將軍澳重華路8號 ,27039346,27039371,www.eastpointcity.com.hk,52
716,shopping-malls, Discovery Park , 愉景新城 ," 398 Castle Peak Road, Tsuen Wan, NT ", 荃灣青山公路398號 ,29402228,29402890,www.discoverypark.com.hk,53
715,shopping-malls, Citywalk , 荃新天地 ," 1 Yeung Uk Road, Tsuen Wan ", 荃灣楊屋道1號 ,39265700,,www.citywalk.com.hk,54
714,shopping-malls, Citygate Outlets , 東薈城名店倉 ," 20 Tat Tung Road, ", 東涌達東路20號 ,21092933,21096607,www.citygateoutlets.com.hk,55
713,food-courts, Skyplaza , 翔天廊 ,"\n1 Sky City Road East, Hong Kong International Airport,\n", 大嶼山香港國際機場二號客運大樓 ,21833561,,www.hongkongairport.com,56
712,food-courts, New Town Plaza , 新城市廣場 ," 10 Shatin Centre Street, Shatin ", 沙田沙田正街10號 ,26995992,26931096,www.newtownplaza.com.hk,57
711,food-courts, Discovery Park , 愉景新城 ," L1, 398 Castle Peak Road, Tsuen Wan ", 荃灣青山公路398號 ,29402228,29402890,www.discoverypark.com.hk,58
710,food-courts, Citygate Outlets , 東薈城名店倉 ," L2, 20 Tat Tung Road, Tung Chung ", 東涌達東路20號 ,21092933,21096607,www.citygateoutlets.com.hk,59
630,computer-centre, Wan Chai Computer Center , 灣仔電腦城 ," 130 Hennessy Road, Wanchai ", 灣仔軒尼詩道130號 ,28347685,,,60
629,computer-centre, Windsor House: Computer Mall , 皇室堡電腦城 ," 10-12/F. 311 Gloucester Road, Causeway Bay ", 銅鑼灣告士打道 皇室大廈10樓至12樓 ,28956796,,,61
628,computer-centre, 298 Computer Zone 298 , 298電腦特區 ," Hennessy Road, Wanchai ", 灣仔軒尼詩道298號 ,25729009,,,62
624,shopping-malls, World Trade Centre , 世貿中心 ," 311 Gloucester Road, Causeway Bay ", 銅鑼灣告士打道280號 ,25764121,25776391,www.wtcmore.com,63
623,shopping-malls, Windsor House , 皇室堡 ," 311 Gloucester Road, Causeway Bay ", 銅鑼灣告士打道311號 ,28950668,28811214,www.windsorhouse.hk,64
622,shopping-malls, Western Market , 西港城 ," 323 Des Voeux Road C, Central ", 上環干諾道中323號 ,60292675,26200108,www.westernmarket.com.hk,65
621,shopping-malls, United Centre , 統一中心 ," 95 Queensway, Admiralty ", 金鐘金鐘道95號 ,25284570,28610043,,66
620,shopping-malls, Time Square , 時代廣場 ," 1 Matheson Street, Causeway Bay ", 銅鑼灣勿地臣街1號 ,21188900,21188934,www.timessquare.com.hk,67
619,shopping-malls, Stanley Plaza , 赤柱廣場 ," Carmel Road, Stanley ", 赤柱佳美道 ,28134623,28139041,www.thelinkreit.com/en/shopping/c_stanley.asp,68
618,shopping-malls, Shun Tak Centre , 信德中心 ," 200 Connaught Road, Central ", 上環干諾道中200號 ,25476942,28587121,,69
615,shopping-malls, Queensway Plaza , 金鐘廊 ," 93 Queensway, Admiralty ", 金鐘金鐘道93號 ,25296203,25296207,,70
614,shopping-malls, Prince’s Building , 太子大廈 ," 1A-3 Des Voeux Road, Central ", 中環德士古道1A-3號 ,25240704,25250776,www.centralhk.com,71
613,shopping-malls," Peak Tower, The ", 凌霄閣 , 128 Peak Road. Victoria Peak , 山頂山頂道128號 ,28490608,28496237,www.thepeak.com.hk,72
